Subject,Content,IsSpam
"Win money","You won 1000000 dollars click here",true
"Meeting reminder","Team meeting at 10 AM tomorrow",false
"Urgent account","Your account is suspended verify now",true
"Project update","Weekly status report attached",false
"Make money fast","Work from home earn 5000 weekly",true
"Office meeting","Meeting in conference room B",false
"Package delivery","Your package failed click link",true
"Lunch invitation","Free for lunch next week",false
"Special offer","Get 90 percent off luxury watches",true
"Client notes","Meeting notes attached for review",false
"Payment received","You got 500 dollars click to claim",true
"Performance review","Annual reviews next week",false
"Final notice","Car warranty expires call now",true
"Flight confirmation","Your flight is confirmed",false
"Size increase","Increase your size 5 inches",true
"Budget approval","Q3 budget approved",false
"Bank verification","Verify your bank account now",true
"Presentation feedback","Your presentation was excellent",false
"Inheritance claim","Claim 15 million inheritance",true
"Office closed","Office closed for holiday",false
"Lottery winner","You won 2.5 million pounds",true
"Conference schedule","Presentation schedule attached",false
"Business opportunity","Nigerian prince 25 million offer",true
"Project status","Week 23 progress report",false
"Credit score","Your credit dropped 100 points",true
"Interviews","Candidate interviews scheduled",false
"WhatsApp message","New voice message click link",true
"Expense report","Submit expenses by Friday",false
"Purchase confirmation","iPhone purchase for 2499",true
"Team building","Escape room event next month",false
"Netflix account","Your account will be suspended",true
"Board meeting","Quarterly board meeting agenda",false
"Bitcoin investment","Get 1000 percent return",true
"Health insurance","Updated policy details",false
"Facebook settlement","Claim 478 dollars settlement",true
"Sales report","Q2 sales 3.2 million revenue",false
"PayPal limited","Account limited verify identity",true
"Vacation approved","Your vacation is approved",false
"Debt forgiveness","New law erases credit card debt",true
"IT maintenance","System maintenance this weekend",false
"Income double","Double income in 30 days",true
"Proposal revision","Revise project proposal",false
"Amazon locked","Account locked verify details",true
"Welcome team","Welcome to our company",false
"Unclaimed money","Government holding your money",true
"Server maintenance","Scheduled maintenance Sunday",false
"Phone viruses","Child phone infected with viruses",true
"Client followup","Meeting followup summary",false
"Make 1000 daily","App makes 1000 daily",true
"Budget review","Quarterly budget meeting",false
"Win iPhone","You won iPhone 14 Pro",true
"Research paper","Collaborate on research paper",false
"Bank suspended","Account suspended within 24 hours",true
"Remote work","New remote work policy",false
"Personal loan","Guaranteed loan 50000 dollars",true
"Conference invitation","Speak at conference",false
"Computer infected","Your computer has malware",true
"Deadline extension","Project deadline extended",false
"Tax refund","IRS refund 2847 dollars",true
"Performance review","Annual review scheduled",false
"Adult content","Free access to adult content",true
"Company picnic","Annual picnic this Saturday",false
"Account deletion","Account deleted in 24 hours",true
"Meeting rescheduled","Weekly meeting moved",false
"Work from home","Make 5000 weekly from home",true
"Marketing info","Client requested campaign data",false
"Credit card","Dont pay credit card bill",true
"Building access","Limited access holiday weekend",false
"Package failed","Delivery failed update info",true
"Meeting minutes","Project meeting minutes",false
"Free cruise","You won free cruise vacation",true
"Anniversary","Company anniversary celebration",false
"Banking suspended","Online banking suspended",true
"CRM training","New CRM system training",false
"Win iPhone survey","Take survey win iPhone",true
"Insurance deadline","Health insurance enrollment",false
"SSN suspended","Social security number suspended",true
"Office relocation","Moving to new location",false
"Make 100K","Make 100000 in 30 days",true
"Newsletter","Summer 2023 newsletter",false
"Weight loss","Lose 30 pounds in 30 days",true
"Holiday schedule","Changed holiday schedule",false
"FBI monitoring","FBI monitoring your device",true
"Proposal review","Review project proposal",false
"Payment error","Payment processing error",true
"Team lunch","Celebration lunch Friday",false
"Investment strategy","Secret investment method",true
"System downtime","Scheduled downtime Sunday",false
"License suspended","Drivers license suspended",true
"Job application","Selected for interview",false
"IP compromised","IP address compromised",true
"Webinar invitation","Industry trends webinar",false
"Cash giveaway","You won 10000 cash",true
"Budget planning","Department budget meeting",false
"Purchase receipt","Purchase 599 dollars",true
"Team retreat","Team building retreat info",false
"Password compromised","Compromised password alert",true
"Project completion","Project finished successfully",false
"Unclaimed funds","Verify identity for money",true
"Leave policy","Updated annual leave policy",false
"Payment receipt","Receipt for 499 payment",true
"Volunteer day","Community service day",false
"Credit card verify","Verify credit card info",true
"Product launch","Updated launch timeline",false
"Amazon gift card","Win 1000 gift card",true
"Safety inspection","Monthly safety inspection",false
"Legal warning","Final legal warning lawsuit",true
"Interview evaluation","Candidate evaluation form",false
"Miracle cure","Doctors hiding miracle cure",true